marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
8,0.019522312,0.241887273,0.001703224,0.041401795,0.266563094,0.001015479,0.096737053,0.232161123,0.000238618,traditional,9,5
9,0.015120785,0.398474926,0.001556563,0.030368155,0.266592849,0.0008749,0.07252085,0.271494623,0.000486618,traditional,10,5
10,0.029785015,0.241502766,0.000269519,0.029086325,0.201955934,0.000536271,0.049189738,0.289724616,-0.000149336,human_like,1,5
11,0.016527349,0.361780548,0.001168114,0.026243295,0.246246158,1.64E-05,0.072439202,0.364947729,-7.23E-05,human_like,2,5
12,0.020357476,0.489076118,0.002216117,0.025679483,0.248630223,8.09E-05,0.074847557,0.449080145,-0.000149142,human_like,3,5
13,0.019361864,0.369126293,0.002218575,0.024888162,0.18408376,8.19E-05,0.068909137,0.237518304,-0.000294745,human_like,4,5
14,0.018955046,0.301111293,0.00116535,0.036706936,0.230251438,0.000557675,0.118909941,0.318606985,0.000142394,human_like,5,5
15,0.021628032,0.137465456,0.001400164,0.025473324,0.208450245,0.000762256,0.095468801,0.269297266,5.33E-05,human_like,6,5
16,0.011841537,0.246965975,0.001024356,0.034952355,0.220732481,0.000477633,0.076014642,0.244962426,4.40E-05,human_like,7,5
17,0.026758976,0.322360957,0.001996651,0.034768858,0.190565904,0.000328415,0.056964934,0.1881863,-0.001069915,human_like,8,5
18,0.012710815,0.248702829,0.001524377,0.043353878,0.238460017,0.000300134,0.070372367,0.263179606,-0.000160512,human_like,9,5
19,0.012158991,0.275055376,0.001455972,0.039185219,0.264312724,0.000174048,0.0644894,0.302902483,-7.21E-06,human_like,10,5
0,0.020208822,0.401503362,0.00079172,0.034068501,0.393276311,0.000461009,0.057846501,0.564601911,0.000579491,traditional,1,6
1,0.027835667,0.443650401,0.000948306,0.055165037,0.339194958,9.93E-05,0.067145112,0.462308329,0.000142987,traditional,2,6
2,0.025145025,0.398639143,0.001262155,0.051903475,0.33441955,-0.000124032,0.114771906,0.374415257,0.000176228,traditional,3,6
3,0.019855183,0.331968774,-0.003038209,0.048240085,0.361973289,-0.000869022,0.134757849,0.494577515,0.001174731,traditional,4,6
4,0.023726993,0.463774893,-0.002410345,0.05444597,0.342894149,0.000239324,0.08472465,0.485169222,0.001271032,traditional,5,6
5,0.035159872,0.497248012,0.001799203,0.081795889,0.405031551,0.000814252,0.125416661,0.504246653,0.001066801,traditional,6,6
6,0.040433043,0.537142932,0.001246153,0.076116995,0.440489569,0.001180267,0.128963357,0.504165847,0.00088016,traditional,7,6
7,0.024531894,0.405806696,0.002235658,0.062432063,0.304817318,-0.000112044,0.138155851,0.520009513,0.000477787,traditional,8,6
8,0.035053788,0.484735714,0.001733282,0.066680899,0.297634477,-0.000117687,0.147203379,0.494211091,0.000503867,traditional,9,6
9,0.019486408,0.377186037,-0.002709103,0.04358164,0.466336891,0.000159582,0.078838588,0.589739791,0.001283288,traditional,10,6
10,0.013247825,0.360916922,-9.66E-05,0.027499451,0.426910683,0.000112827,0.056091314,0.509200766,2.21E-06,human_like,1,6
11,0.020229593,0.218179386,0.000960046,0.033292358,0.163479839,0.000369253,0.087138281,0.395313183,5.53E-05,human_like,2,6
12,0.015242503,0.249000966,0.0005839,0.037155445,0.184683196,6.59E-05,0.053930486,0.305708042,0.000650341,human_like,3,6
13,0.017828487,0.215004098,0.001587262,0.05414765,0.288758711,9.63E-05,0.097416071,0.373398624,2.70E-05,human_like,4,6
14,0.022470322,0.231639844,0.001822625,0.056215135,0.273911544,-2.03E-05,0.127351842,0.502033376,0.000311922,human_like,5,6
15,0.018078854,0.258930135,-0.001252305,0.029975987,0.165667553,-3.86E-05,0.092997834,0.316443081,0.000890787,human_like,6,6
16,0.03395799,0.255141952,-0.000390959,0.034813933,0.227738898,-8.95E-05,0.089350438,0.337939588,0.000493338,human_like,7,6
